Surat Tanda Berizin/Terdaftar,Nama Platform,Website,Nama Perusahaan,Tanggal,Jenis
S-1074/NB.213/2018,Vestia P2P Lending Platform,http://web.vestia.co.id,PT Tujuh Mandiri Sejahtera,07 Desember 2018,Terdaftar
S-1075/NB.213/2018,Singa,http://singa.id,PT Abadi Sejahtera Investindo,07 Desember 2018,Terdaftar
S-1108/NB.213/2018,AdaKami,http://adakami.id,PT Pembiayaan Digital Indonesia,21 Desember 2018,Terdaftar
S-1109/NB.213/2018,ModalUsaha,http://modalusaha.id,PT Indo Fintek Digital,21 Desember 2018,Terdaftar
S-1110/NB.213/2018,Asetku,http://asetku.co.id,PT Pintar Inovasi Digital,21 Desember 2018,Terdaftar
S-1111/NB.213/2018,Danafix,http://danafix.id,PT Danafix Online Indonesia,21 Desember 2018,Terdaftar
S-1112/NB.213/2018,Lumbung Dana,http://lumbungdana.co.id,PT Lumbung Dana Indonesia,21 Desember 2018,Terdaftar
S-1113/NB.213/2018,lahansikam,http://lahansikam.co.id,PT Lampung Berkah Finansial Teknologi,21 Desember 2018,Terdaftar
S-1114/NB.213/2018,Modal Nasional,www.modalnasional.co.id,PT Solusi Teknologi Finansial,21 Desember 2018,Terdaftar
S-1115/NB.213/2018,Dana Bagus,www.danabagus.id,PT Dana Bagus Indonesia,21 Desember 2018,Terdaftar
S-1116/NB.213/2018,ShopeeKredit,www.lenteradana.co.id,PT Lentera Dana Nusantara,21 Desember 2018,Terdaftar
S-1117/NB.213/2018,ikredo online,www.ikredo.id,PT Investdana Fintek Nusantara,21 Desember 2018,Terdaftar
S-57/NB.213/2019,AdaKita,www.adakita.co.id,PT Unikas Indonesia Pasifik,1 Februari 2019,Terdaftar
S-58/NB.213/2019,UKU,www.ukuindo.com,PT Teknologi Merlin Sejahtera,1 Februari 2019,Terdaftar
S-59/NB.213/2019,Pinjamwinwin,www.pinjamwinwin.com,PT Progo Puncak Group,1 Februari 2019,Terdaftar
S-60/NB.213/2019,Pasarpinjam,www.pasarpinjam.co.id,PT Digital Bertahan Indonesia,1 Februari 2019,Terdaftar
S-61/NB.213/2019,Kredinesia,www.kredinesia.id,PT Kreditku Teknologi Indonesia,1 Februari 2019,Terdaftar
S-62/NB.213/2019,BKDana,www.bkdana.id,PT Berkah Kelola Dana,1 Februari 2019,Terdaftar
S-63/NB.213/2019,GandengTangan.org,www.gandengtangan.co.id,PT Kreasi Anak Indonesia,1 Februari 2019,Terdaftar
S-64/NB.213/2019,Modalantara,www.modalantara.id,PT Anantara Digital Indonesia,1 Februari 2019,Terdaftar
S-65/NB.213/2019,Komunal,www.komunal.co.id,PT Komunal Finansial Indonesia,1 Februari 2019,Terdaftar
S-66/NB.213/2019,ProsperiTree,www.prosperitree.co.id,PT Newline Fintech Indonesia,1 Februari 2019,Terdaftar
S-67/NB.213/2019,Danakoo,www.danakoo.id,PT Danakoo Mitra Artha,1 Februari 2019,Terdaftar
